Url,NbCmnts
https://www.tripadvisor.fr/Restaurant_Review-g675630-d10430735-Reviews-O_Velobre-Graulhet_Tarn_Occitanie.html,18
https://www.tripadvisor.fr/Restaurant_Review-g196492-d6895033-Reviews-Crescendo_restaurant-Cernay_Haut_Rhin_Grand_Est.html,110
https://www.tripadvisor.fr/Restaurant_Review-g196568-d4606562-Reviews-Le_roi_des_gambas-Gonesse_Val_d_Oise_Ile_de_France.html,64
https://www.tripadvisor.fr/Restaurant_Review-g187147-d1751525-Reviews-Cafe_Le_Dome-Paris_Ile_de_France.html,324
https://www.tripadvisor.fr/Restaurant_Review-g187140-d4235075-Reviews-L_Aiaccinu-Ajaccio_Communaute_d_Agglomeration_du_Pays_Ajaccien_Corse_du_Sud_Corsi.html,113
https://www.tripadvisor.fr/Restaurant_Review-g644121-d2219883-Reviews-La_Petite_Chaloupe-Port_en_Bessin_Huppain_Calvados_Basse_Normandie_Normandy.html,300
https://www.tripadvisor.fr/Restaurant_Review-g187147-d2235835-Reviews-Pizza_Firenze-Paris_Ile_de_France.html,338
https://www.tripadvisor.fr/Restaurant_Review-g187151-d3325374-Reviews-L_Aquarelle-Carcassonne_Center_Carcassonne_Aude_Occitanie.html,387
https://www.tripadvisor.fr/Restaurant_Review-g187265-d1626780-Reviews-Restaurant_Le_Saint_Joseph-Lyon_Rhone_Auvergne_Rhone_Alpes.html,349
https://www.tripadvisor.fr/Restaurant_Review-g196569-d7737938-Reviews-Cafe_Francais-Issy_les_Moulineaux_Hauts_de_Seine_Ile_de_France.html,94
https://www.tripadvisor.fr/Restaurant_Review-g187164-d2494603-Reviews-Brasserie_Le_Luxembourg-Metz_Moselle_Grand_Est.html,16
https://www.tripadvisor.fr/Restaurant_Review-g187147-d7101577-Reviews-Le_Nord_Express-Paris_Ile_de_France.html,41
